Date,Train-Test,Board,Board_Type,Wheel_Diameter,Wheel_Durometer,City_State,Route,Distance,Calories,Avg_HR,Max_HR,Avg_Speed,Max_Speed,Total_Ascent,Total_Descent,Min_Temp,Number_of_Laps,Min_Elevation,Max_Elevation,Temp,Relative_Humidity,Wind_Speed
6/2/21 9:38,Train,Gbomb C27,Platform,80,80,"Ripon, WI",radio_road_to_carter,8.7,454,123,152,9,17,210,220,75.2,2,965,1075,57.02,64,4.7224196
6/3/21 9:45,Train,Gbomb C27,Platform,80,80,"Ripon, WI",ripon_west_loop,9.85,523,121,145,8.2,14.9,371,407,77,2,927,1045,60.08,69,8.077823
6/5/21 16:10,Train,Gbomb C27,Platform,80,80,"Ripon, WI",radio_road_to_carter,8.66,583,134,158,8.2,18.4,246,299,84.2,2,907,1042,87.08,45,12.7381055
6/6/21 7:06,Train,Gbomb C27,Platform,80,80,"Ripon, WI",radio_road_to_K,4.67,175,100,120,8,20.1,112,131,80.6,1,940,1024,73.94,64,9.1962908
6/7/21 8:42,Train,Gbomb C27,Platform,80,80,"Ripon, WI",ripon_west_loop,10.02,487,116,146,8.2,14.6,361,407,77,3,869,998,69.98,84,8.077823
6/8/21 8:40,Train,Gbomb C27,Platform,80,80,"Ripon, WI",ripon_west_loop,10.02,515,131,154,10.6,16.7,433,469,82.4,3,917,1010,71.06,90,5.8408874
6/9/21 8:30,Train,Gbomb C27,Platform,80,80,"Ripon, WI",ripon_west_loop,10,470,116,149,8.9,17.3,299,358,78.8,2,860,990,69.98,84,0
6/10/21 10:40,Train,Gbomb C27,Platform,80,80,"Ripon, WI",ripon_in_town,3.33,179,102,120,5.7,10.9,52,56,84.2,1,984,1005,68,93,0
6/11/21 6:50,Train,Gbomb C27,Platform,80,80,"Ripon, WI",radio_road_to_K,4.66,192,106,137,8.6,16.4,105,148,77,1,1047,1143,71.96,68,0
6/13/21 7:08,Train,Gbomb C27,Platform,80,80,"Ripon, WI",radio_road_to_K,5.62,240,97,122,6.3,15.5,131,141,75.2,2,958,1042,66.02,65,3.3554034
